Date,Open,High,Low,Close,Volume
3/28/2024 16:00:00,251.14,252.85,251.14,251.68,124952
4/1/2024 16:00:00,242.85,242.86,240.22,242.15,527985
4/2/2024 16:00:00,239,240.24,237.96,239.89,296550
4/3/2024 16:00:00,239.5,242.45,239.5,241.78,307482
4/4/2024 16:00:00,243.2,243.67,239.02,239.16,196284
4/5/2024 16:00:00,239,241.83,238.58,240.74,191129
4/8/2024 16:00:00,243.4,245.84,243.33,244.21,218942
4/9/2024 16:00:00,247.86,248.47,245.68,246.93,232598
4/10/2024 16:00:00,246,246.12,243.86,244.79,214693
4/11/2024 16:00:00,246.5,247.15,244.47,246.99,172561
4/12/2024 16:00:00,245.01,245.27,242.63,242.97,207683
4/15/2024 16:00:00,245.71,246.07,241.33,241.67,158402
4/16/2024 16:00:00,236.29,237.37,234.64,236.52,306118
4/17/2024 16:00:00,234.59,235.29,233.01,233.97,306805
4/18/2024 16:00:00,233.73,234.11,231.7,231.84,220216
4/19/2024 16:00:00,229.5,229.79,227.38,228.72,425857
4/22/2024 16:00:00,228.18,231.15,227.88,230.3,448187
4/23/2024 16:00:00,228.1,230.64,227.82,230.41,361978
4/24/2024 16:00:00,232.85,233.99,231.83,232.88,273446
4/25/2024 16:00:00,223,225.49,222.39,225.36,319153
4/26/2024 16:00:00,225,226.98,224.57,226.71,242281
4/29/2024 16:00:00,228,228.45,227.18,227.94,228266
4/30/2024 16:00:00,229.94,229.94,227,227.31,334235
5/1/2024 16:00:00,228.31,228.84,226.56,226.83,264613
5/2/2024 16:00:00,230.3,231.41,229.37,230.8,228134
5/3/2024 16:00:00,232.06,233.35,231.36,232.87,165241
5/6/2024 16:00:00,233.62,235.68,233.57,235.6,208217
5/7/2024 16:00:00,233.28,233.28,230.91,231.26,248944
5/8/2024 16:00:00,231.12,232.43,227,231.78,371657
5/9/2024 16:00:00,227.51,228.03,226.73,227.24,329111
5/10/2024 16:00:00,220.93,221.06,218.14,218.78,563937
5/13/2024 16:00:00,217.1,217.13,215.3,215.64,466171
5/14/2024 16:00:00,216.5,217.61,216.21,217.12,268659
5/15/2024 16:00:00,218.9,219.94,218.3,219.55,280881
5/16/2024 16:00:00,216.84,217.04,215.6,215.63,296807
5/17/2024 16:00:00,219.93,220.42,219.09,219.76,265728
5/20/2024 16:00:00,220.31,221.09,219.9,220.5,175501
5/21/2024 16:00:00,219.8,220.44,219.19,219.36,145591
5/22/2024 16:00:00,217.47,217.61,216.28,216.63,166513
5/23/2024 16:00:00,218.09,218.09,214.31,214.72,260814
5/24/2024 16:00:00,216.1,217.02,215.95,216.84,134402
5/28/2024 16:00:00,219,219.53,217.41,218.72,262299
5/29/2024 16:00:00,215.37,215.37,213.74,213.95,191322
5/30/2024 16:00:00,213.52,214.91,213.29,214.17,279024
5/31/2024 16:00:00,216.89,217.51,215.54,217.51,254072
6/3/2024 16:00:00,212.29,213.54,211.18,212.17,351367
6/4/2024 16:00:00,211,211.34,210.04,210.38,224059
